,X value,Y value,Tijd,Z-value,Z-return,Z-return-%
124,2015-03-16 00:00:00+00:00,0.6666666666278616,2015-03-16 16:00:00+00:00,1.35724,0.0011943116803383566,-0.2917685891957181
125,2015-03-20 00:00:00+00:00,0.15625,2015-03-20 03:45:00+00:00,1.35328,-0.002921950634912916,2.0239713880349983
126,2015-03-20 00:00:00+00:00,0.6354166666278616,2015-03-20 15:15:00+00:00,1.38067,0.02003761329299398,-0.12457719802705684
127,2015-03-20 00:00:00+00:00,0.6666666666278616,2015-03-20 16:00:00+00:00,1.37895,-0.0012465485992443938,-0.02973276768554331
128,2015-03-20 00:00:00+00:00,0.8229166666278616,2015-03-20 19:45:00+00:00,1.37854,-0.0002973718874927123,-2.173313795754944
129,2015-03-24 00:00:00+00:00,0.125,2015-03-24 03:00:00+00:00,1.34858,-0.02197278109414296,0.04004211837638161
130,2015-03-24 00:00:00+00:00,0.46875,2015-03-24 11:15:00+00:00,1.34912,0.000400341036595987,-0.46030004743833375
131,2015-03-24 00:00:00+00:00,0.6041666666278616,2015-03-24 14:30:00+00:00,1.34291,-0.004613626902575317,0.42296207489704496
132,2015-04-01 00:00:00+00:00,0.6770833333721384,2015-04-01 16:15:00+00:00,1.34859,0.0042207010455936455,-0.6310294455690771
133,2015-04-01 00:00:00+00:00,0.7291666666278616,2015-04-01 17:30:00+00:00,1.34008,-0.006330288520420638,0.5037012715658792
134,2015-04-09 00:00:00+00:00,0.125,2015-04-09 03:00:00+00:00,1.34683,0.00502436940567857,0.09355300965972238
135,2015-04-09 00:00:00+00:00,0.6354166666278616,2015-04-09 15:15:00+00:00,1.34809,0.0009350927610554933,0.9368810687713669
136,2015-04-13 00:00:00+00:00,0.6666666666278616,2015-04-13 16:00:00+00:00,1.36072,0.009325195583670882,-0.13595743429948168
137,2015-04-13 00:00:00+00:00,0.6979166666278616,2015-04-13 16:45:00+00:00,1.35887,-0.0013604994027452935,1.4916805875470067
138,2015-04-17 00:00:00+00:00,0.39583333337213844,2015-04-17 09:30:00+00:00,1.37914,0.014806644479755483,-0.3828472816392789
139,2015-04-17 00:00:00+00:00,0.4375,2015-04-17 10:30:00+00:00,1.37386,-0.0038358201772216135,0.770093022578706
140,2015-04-21 00:00:00+00:00,0.65625,2015-04-21 15:45:00+00:00,1.38444,0.007671429421573826,-0.6970327352575726
141,2015-04-29 00:00:00+00:00,0.6458333333721384,2015-04-29 15:30:00+00:00,1.37479,-0.006994733563251741,0.21312345885554154
142,2015-04-29 00:00:00+00:00,0.71875,2015-04-29 17:15:00+00:00,1.37772,0.0021289667297740497,-1.471997212786348
143,2015-04-29 00:00:00+00:00,0.8125,2015-04-29 19:30:00+00:00,1.35744,-0.014829385957458,0.3580268741159894
